fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_004,180483,2024-11-15 17:00:00,2024-11-15 17:00:00,-1,-1.942086,short|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|us_overlap,20605.52,20588.09,20618.2,20588.09,16.23,1,target,18.75,7.5,1.2
rw_004,180492,2024-11-15 17:45:00,2024-11-15 17:45:00,-1,-1.91105,short|phase_early_confirmation|compression_low|trigger_soft|fresh_new|low_decay|late_session,20496.77,20513.19,20513.19,20474.19,-17.62,1,stop,21.0,21.0,1.2
rw_004,180498,2024-11-15 18:15:00,2024-11-15 18:15:00,-1,-1.885903,short|phase_early_confirmation|compression_low|trigger_soft|fresh_new|low_decay|late_session,20467.27,20486.08,20486.08,20441.4,-20.01,1,stop,1.62,23.13,1.2
rw_004,180509,2024-11-15 19:10:00,2024-11-15 19:45:00,-1,-1.849699,short|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,20405.9,20427.58,20427.58,20376.1,-22.76,8,stop,10.75,23.12,1.08
rw_004,180517,2024-11-15 19:50:00,2024-11-15 19:50:00,-1,-1.836845,short|phase_early_confirmation|compression_low|trigger_soft|fresh_fresh|low_decay|late_session,20409.77,20379.84,20431.54,20379.84,28.73,1,target,46.87,0.0,1.2
rw_004,180524,2024-11-15 20:25:00,2024-11-15 20:25:00,-1,-1.818051,short|phase_early_confirmation|compression_low|trigger_soft|fresh_fresh|low_decay|late_session,20373.02,20396.07,20396.07,20341.32,-24.25,1,stop,2.5,23.25,1.2
rw_004,180531,2024-11-15 21:00:00,2024-11-15 21:05:00,-1,-1.812345,short|phase_trigger|compression_low|trigger_firm|fresh_new|low_decay|late_session,20345.15,20366.86,20366.86,20315.3,-22.91,2,stop,1.0,30.37,1.2
rw_004,180635,2024-11-18 06:45:00,2024-11-18 06:50:00,1,-1.917667,long|phase_trigger|compression_high|trigger_strong|fresh_new|low_decay|early_session,20569.51,20578.88,20562.7,20578.88,7.97,2,target,10.0,0.5,1.4
rw_004,180644,2024-11-18 07:30:00,2024-11-18 07:30:00,1,-1.942162,long|phase_early_confirmation|compression_high|trigger_soft|fresh_fresh|mid_decay|early_session,20567.13,20561.09,20561.09,20575.43,-7.44,1,stop,0.0,12.12,1.4
rw_004,180735,2024-11-18 15:05:00,2024-11-18 15:10:00,-1,-1.942224,short|phase_trigger|compression_mid|trigger_strong|fresh_new|low_decay|us_overlap,20463.76,20448.09,20475.16,20448.09,14.27,2,target,26.0,0.37,1.4
rw_004,180767,2024-11-18 17:45:00,2024-11-18 18:10:00,1,-1.916406,long|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,20601.98,20624.69,20585.46,20624.69,21.51,6,target,28.75,8.5,1.2
